
Entities,Count


Keyword
"team",1771,
"points",1425,
"season",1418,
"race",1275,
"drivers",1245,
"fans",946,
"title",854,
"championship",582,
"tournament",555,
"weekend",547,

Hashtag
"#qatargp",782,
"#f1",564,
"#f1jp",171,
"#yt22",170,
"#mclaren",118,
"#u17wc",109,
"#formula1",100,
"#ufcqatar",78,
"#qatar",64,
"#maxverstappen",47,

Product
"f1",626,
"fifa",201,
"espnews",95,
"sling day pass",89,
"sling pass",89,
"sling week pass",89,
"espnu",87,
"weekend pass",86,
"espn2",84,
"mcl39",74,

Person
"lando norris",2634,
"max verstappen",2553,
"oscar piastri",2302,
"lewis hamilton",1236,
"george russell",968,
"carlos sainz",814,
"charles leclerc",800,
"kimi antonelli",732,
"verstappen",636,
"fernando alonso",599,

Organization
"mclaren",2634,
"red bull",2031,
"mercedes",1446,
"ferrari",1361,
"ufc",718,
"getty images",590,
"fifa",583,
"ufc qatar",571,
"fia",538,
"grand prix",522,

Location
"qatar",4830,
"abu dhabi",1693,
"doha",1594,
"las vegas",1071,
"lusail international circuit",869,
"australia",811,
"brazil",718,
"italy",655,
"قطر",641,
"mexico",560,

Emoji
"🚨",341,
"🇶🇦",251,
"🤩",205,
"💪",137,
"👋",92,
"😃",92,
"🔥",87,
"❤",80,
"🥹",79,
"🏎",78,

