
Locations,Count


Country
"United States",2556,
"United Kingdom",1212,
"Qatar",934,
"United Arab Emirates",507,
"Australia",496,
"India",437,
"Egypt",383,
"Canada",335,
"South Africa",219,
"Saudi Arabia",128,
"France",115,
"Russia",108,
"Singapore",89,
"Malaysia",84,
"Uganda",81,
"Ireland",78,
"Switzerland",71,
"Netherlands",67,
"Brazil",63,
"Nigeria",62,
"Philippines",48,
"New Zealand",45,
"Indonesia",41,
"Morocco",38,
"Bahrain",34,
"Spain",32,
"Uzbekistan",27,
"Japan",26,
"Germany",24,
"Sweden",24,
"Bangladesh",23,
"Ghana",22,
"Kuwait",21,
"Pakistan",20,

State/Province
"England",772,
"Baladīyat ad Dawḩah",678,
"California",544,
"Wyoming",299,
"New South Wales",183,
"New York",180,
"British Columbia",169,
"Washington",161,
"Delhi",123,
"Ontario",122,
"Wisconsin",106,
"Cairo",90,
"Victoria",90,
"Texas",82,
"Unknown",76,
"Gauteng",74,
"Queensland",74,
"Karnataka",73,
"Scotland",71,
"Moscow",70,
"Zurich",69,
"Dubai",66,
"Florida",57,
"Leinster",44,
"Central Region",38,
"Wales",38,
"Île-de-France",37,
"Tennessee",34,
"Ar Riyāḑ",33,
"Western Australia",33,
"Pennsylvania",33,
"Maharashtra",30,
"Kuala Lumpur",28,
"Minnesota",26,
"Georgia",25,

City
"Doha, Baladīyat ad Dawḩah",647,
"San Francisco, California",370,
"London, England",319,
"Redmond, Washington",132,
"New Delhi, Delhi",119,
"New York City, New York",115,
"Unknown",76,
"Moscow, Moscow",70,
"Brookfield, Wisconsin",64,
"Toronto, Ontario",64,
"Mountain View, California",60,
"Bengaluru, Karnataka",49,
"Dubai, Dubai",47,
"Johannesburg, Gauteng",46,
"Houston, Texas",44,
"Cairo, Cairo",41,
"Mississauga, Ontario",36,
"Kampala, Central Region",34,
"Dublin, Leinster",34,
"Sydney, New South Wales",33,
"Kuala Lumpur, Kuala Lumpur",28,
"Mumbai, Maharashtra",27,
"Surry Hills, New South Wales",25,
"Norwich, England",24,
"Watford, England",20,
"Douglas, Scotland",20,
"Kolkata, West Bengal",19,
"Artarmon, New South Wales",19,
"Appleton, Wisconsin",19,
"Cape Town, Western Cape",18,
"Lancaster, Pennsylvania",18,
"Southbank, Victoria",18,
"Hilo, Hawaii",17,
"Issy-les-Moulineaux, Île-de-France",16,
"East New York, New York",16,

