
Stories,Mentions

"Hannah Schmitz has explained she overcame scepticism from her colleagues to pit Max Verstappen despite both McLarens staying out in Formula 1's Qatar Grand Prix.",354,
"Chief sports photographer David Davies talks us through some of his favourite images that he captured across the year, from securing the Ryder Cup to Lando Norris conquering the F1 world.",175,
"Max Verstappen won the 2024 F1 Qatar Grand Prix, finishing ahead of Charles Leclerc in second place and Oscar Piastri in third.",138,
"Looking to watch the Texas A&M vs. Texas game tonight? Read on. Ahead is a quick guide on how to stream the game using Sling.",89,
"McLaren CEO Zak Brown says he wouldn't miss the start of Sunday's Formula 1 Qatar Grand Prix as he expects an ultra-aggressive Max Verstappen to attack Lando Norris and Oscar Piastri.",82,
"Billy Bonds has died at the age of 79 - a legendary midfielder who played for West Ham in the early 70s and 80s.",62,
"Lando Norris will not be granted preferential treatment over his McLaren team-mate Oscar Piastri as the world championship reaches its climax.",59,
"Lando Norris is now 22 points ahead of McLaren team-mate Oscar Piastri and 25 in front of Red Bull's four-time world champion Max Verstappen.",52,
"Max Verstappen has closed the deficit on Lando Norris to just 24 points and will be targeting a fifth world title over the final two races of the year.",50,
"The Canadian men’s and women’s soccer teams enter 2026 in vastly different moods, while the men finish the year unchanged at No. 27 in the FIFA world rankings.",43,
"Former Williams team principal Claire Williams believes McLaren will always have the best intentions and try to do the best thing for their drivers on a Sunday afternoon.",41,
"Lando Norris says Max Verstappen would have easily won the world title if his car was as competitive as Norris's McLaren.",37,
"The countdown is on to the FIFA U-17 World Cup Qatar 2025TM, and the official squad lists for all 48 teams competing at the tournament have been announced.",36,
"Kyle Larson secured his second NASCAR Cup Series championship while taking advantage of a late caution that allowed him to overtake Denny Hamlin in overtime.",35,
"FILE - No. 4 Arizona beat No. 3 UConn 71-67 on Wednesday night, leading the Crimson Tide to a tight win in their third straight game against the top-10 team.",35,
"Qatar will host the men's under-17 World Cup on an annual basis. What does this mean for the youngsters playing and for the hosts?",33,
"McLaren has revealed its findings into its shock double disqualification from Las Vegas Grand Prix, and has stressed both drivers will still have an equal chance of this year’s Formula 1 title.",31,
"China's Zheng Qinwen withdraws from Australian Open, former short track speed skating Olympic champion Wu Dajing announces retirement, Zhou Guanyu confirmed as F1 Cadillac reserve for 2026, Shi Yuqi leads Chinese shuttlers to advance into Malaysia Open 2026 semi-finals.",31,
"Max Verstappen says he didn't expect to win today, that's for sure, but that call at the pit stop made the race for him.",30,
"Formula 1's final race of the season will be held in Abu Dhabi on Saturday, a day when the championship goes down to the final round. Here's what you need to know.",28,
"Lando Norris leads McLaren into the Las Vegas Grand Prix, chased by Max Verstappen who vows to attack with nothing to lose as his title hopes fade",27,
"Max Verstappen's race engineer and Helmut Marko suggested Mercedes driver Kimi Antonelli had attempted to help Norris in his championship battle by handing him fourth place.",24,
"Max Verstappen needs to prove he has learned how to handle the pressure, while Lando Norris can't afford to rest on his laurels.",24,
"George Russell has admitted he is not expecting Mercedes to be as competitive this year in comparison to its display in 2024.",23,
"Qatar launches the ticketing app, the all-in-one digital gateway for fans heading to the FIFA U-17 World Cup, which will take place from 3–27 November.",22,
"Ian Garry is set to take one step closer to the welterweight title as he faces off against Belal Muhammad tonight at UFC Fight Night Qatar.",21,
"Max Verstappen claimed the maximum 25 points on offer, drawing level with Oscar Piastri in the standings ahead of Qatar.",21,
"Ralf Schumacher believes that McLaren must really discuss this matter at length and get to the bottom of it.",19,
"Ahead of the 2025 Qatar Grand Prix, Formula 1 has implemented several track modifications to improve race management and curb repeated track-limits violations.",19,

