
Entities,Count


Keyword
"team",1698,
"points",1382,
"season",1313,
"drivers",1225,
"race",1214,
"title",841,
"fans",791,
"championship",568,
"tournament",527,
"weekend",527,

Hashtag
"Hashtag",,

Product
"f1",612,
"fifa",178,
"espnews",95,
"sling day pass",89,
"sling pass",89,
"sling week pass",89,
"espnu",87,
"weekend pass",86,
"espn2",84,
"mcl39",74,

Person
"lando norris",2551,
"max verstappen",2427,
"oscar piastri",2244,
"lewis hamilton",1134,
"george russell",943,
"carlos sainz",795,
"charles leclerc",772,
"kimi antonelli",684,
"verstappen",609,
"fernando alonso",582,

Organization
"mclaren",2561,
"red bull",1730,
"mercedes",1369,
"ferrari",1277,
"ufc",706,
"getty images",590,
"fifa",572,
"fia",521,
"sky sports",493,
"aston martin",489,

Location
"qatar",4176,
"abu dhabi",1650,
"doha",1386,
"las vegas",1036,
"lusail international circuit",823,
"australia",805,
"brazil",704,
"italy",608,
"قطر",594,
"mexico",550,

Emoji
"🤩",198,
"❤",73,
"💪",56,
"⚒",55,
"👉",51,
"⚽",40,
"🔥",39,
"👀",38,
"🚨",34,
"📺",25,

