
Locations,Count


Country
"United States",2407,
"United Kingdom",1166,
"Qatar",682,
"United Arab Emirates",502,
"Australia",461,
"India",395,
"Egypt",383,
"Canada",324,
"South Africa",122,
"Saudi Arabia",116,
"Russia",105,
"Singapore",89,
"Malaysia",81,
"Ireland",77,
"Switzerland",68,
"Netherlands",60,
"Brazil",54,
"France",53,
"Nigeria",49,
"New Zealand",45,
"Philippines",43,
"Uganda",42,
"Morocco",38,
"Indonesia",34,
"Bahrain",33,
"Uzbekistan",26,
"Spain",24,
"Sweden",24,
"Bangladesh",22,
"Ghana",22,
"Kuwait",21,
"Yemen",19,
"Germany",17,
"Ecuador",17,
"Jordan",17,

State/Province
"England",744,
"California",529,
"Baladīyat ad Dawḩah",481,
"Wyoming",299,
"New York",169,
"British Columbia",167,
"Washington",159,
"New South Wales",157,
"Delhi",119,
"Ontario",119,
"Wisconsin",106,
"Cairo",90,
"Victoria",87,
"Unknown",76,
"Queensland",74,
"Texas",71,
"Moscow",70,
"Karnataka",70,
"Scotland",68,
"Zurich",66,
"Dubai",64,
"Florida",46,
"Leinster",43,
"Wales",38,
"Tennessee",33,
"Ar Riyāḑ",31,
"Gauteng",31,
"Western Australia",30,
"Kuala Lumpur",28,
"Pennsylvania",28,
"Maharashtra",26,
"Minnesota",23,
"Île-de-France",21,
"Georgia",21,
"Indiana",21,

City
"Doha, Baladīyat ad Dawḩah",450,
"San Francisco, California",370,
"London, England",310,
"Redmond, Washington",132,
"New Delhi, Delhi",117,
"New York City, New York",110,
"Unknown",76,
"Moscow, Moscow",70,
"Brookfield, Wisconsin",64,
"Toronto, Ontario",61,
"Mountain View, California",60,
"Bengaluru, Karnataka",46,
"Dubai, Dubai",45,
"Houston, Texas",43,
"Cairo, Cairo",41,
"Mississauga, Ontario",36,
"Dublin, Leinster",33,
"Kuala Lumpur, Kuala Lumpur",28,
"Surry Hills, New South Wales",25,
"Johannesburg, Gauteng",24,
"Mumbai, Maharashtra",24,
"Norwich, England",24,
"Watford, England",20,
"Douglas, Scotland",20,
"Artarmon, New South Wales",19,
"Appleton, Wisconsin",19,
"Kolkata, West Bengal",18,
"Lancaster, Pennsylvania",18,
"Southbank, Victoria",18,
"Hilo, Hawaii",17,
"Issy-les-Moulineaux, Île-de-France",16,
"East New York, New York",16,
"Taunton, England",15,
"Oxford, England",15,
"Gurgaon, Haryana",14,

