
Locations,Count


Country
"Egypt",58344,
"Saudi Arabia",24990,
"United Arab Emirates",18098,
"Qatar",9364,
"Morocco",9296,
"Jordan",8453,
"Bahrain",7930,
"Yemen",2959,
"Iraq",2545,
"United States",2118,
"Kuwait",2073,
"United Kingdom",1910,
"Lebanon",1403,
"Tunisia",1215,
"Algeria",1120,
"Russia",1026,
"Libya",938,
"Oman",898,
"Palestinian Territories",810,
"France",756,
"Syria",674,
"India",474,
"Vietnam",363,
"Sudan",298,
"Indonesia",248,
"Brazil",206,
"Australia",201,
"Italy",143,
"Canada",128,
"Switzerland",123,
"Argentina",112,
"Iran",109,
"Romania",106,
"Türkiye",104,
"Germany",98,

State/Province
"Cairo",18800,
"Baladīyat ad Dawḩah",5341,
"Amman",4639,
"Ar Riyāḑ",3956,
"Giza",3886,
"Unknown",3153,
"Dubai",1927,
"Abu Dhabi",1798,
"New York",1141,
"England",973,
"Makkah",916,
"Moscow",889,
"Al Asimah",785,
"Beyrouth",753,
"Eastern Province",725,
"Manama",703,
"Muscat",563,
"Casablanca-Settat",556,
"Sharjah",519,
"Rabat-Salé-Kénitra",469,
"Algiers",323,
"Tūnis",242,
"Biskra",203,
"Baghdad",186,
"California",172,
"Constantine",91,
"Scotland",83,
"Île-de-France",83,
"Queensland",65,
"Zurich",64,
"Ontario",55,
"New South Wales",51,
"Wales",48,
"Madrid",48,
"Tamil Nadu",43,

City
"Cairo, Cairo",9911,
"Doha, Baladīyat ad Dawḩah",5263,
"Unknown",3153,
"Riyadh, Ar Riyāḑ",2926,
"Amman, Amman",2322,
"Dubai, Dubai",1801,
"Giza, Giza",1135,
"Abu Dhabi, Abu Dhabi",894,
"Moscow, Moscow",889,
"Jeddah, Makkah",732,
"Dammam, Eastern Province",720,
"New York City, New York",592,
"Sharjah, Sharjah",519,
"Muscat, Muscat",362,
"Manama, Manama",356,
"London, England",319,
"Kuwait City, Al Asimah",237,
"Biskra, Biskra",203,
"Beirut, Beyrouth",189,
"Baghdad, Baghdad",159,
"Tunis, Tūnis",154,
"San Francisco, California",137,
"Casablanca, Casablanca-Settat",128,
"Constantine, Constantine",91,
"Issy-les-Moulineaux, Île-de-France",62,
"Norwich, England",44,
"Chennai, Tamil Nadu",43,
"Aden, Aden",41,
"Neuchâtel, Neuchâtel",36,
"Mexico City, Mexico City",34,
"Rabat, Rabat-Salé-Kénitra",32,
"Kolkata, West Bengal",28,
"Mendoza, Mendoza",28,
"Ardrossan, Scotland",25,
"Toronto, Ontario",23,

