
Stories,Mentions

"Chief sports photographer David Davies talks us through some of his favourite images that he captured across the year, from securing the Ryder Cup to Lando Norris conquering the F1 world.",174,
"JETOUR’s global sales reached 622,590 units, a year on year increase of 9.5% and setting a new annual record",121,
"JETOUR accelerates its global strategy in 2025, reaching 622,590 units, up 9.5% year on year",88,
"The Philadelphia Union traded All-Star defender Jakob Glesnes and the homegrown priority rights to academy forward Jamir Johnson to the Los Angeles Galaxy on Monday.",66,
"Billy Bonds has died at the age of 79 - a legendary midfielder who played for West Ham in the early 70s and 80s.",62,
"The FIFA Arab Cup Qatar 2025, held under the umbrella of the International Federation of Association Football (FIFA), will take place in Doha, Qatar.",50,
"Qatar Airways offers exclusive travel packages for international fans to experience the FIFA Arab Cup 2025 and the FIFA Intercontinental Cup 2025 in Doha.",32,
"Qatar launches the ticketing app, the all-in-one digital gateway for fans heading to the FIFA U-17 World Cup, which will take place from 3–27 November.",31,
"The countdown is on to the FIFA U-17 World Cup Qatar 2025TM, and the official squad lists for all 48 teams competing at the tournament have been announced.",31,
"FIFA and the Association of Southeast Asian Nations (ASEAN) have renewed their partnership with the signing of a new five-year Memorandum of Understanding (MoU).",28,
"King Mohammed VI sent a message of congratulations to Morocco’s national football A team after its victory at the Arab Cup Qatar 2025.",24,
"Qatar will host the men's under-17 World Cup on an annual basis. What does this mean for the youngsters playing and for the hosts?",22,
"Qatar is fully prepared to secure the FIFA Arab Cup2025 — the Arab world’s biggest football tournament — which begins on Monday, December 1, and runs until December 18.",20,
"More than 60,000 fans filled the stadium in Al Khor for an opening show built around themes of unity, peace and renewal.",19,
"Cabinet welcomed the 2025 Medium-Term Budget Policy Statement (MTBPS) as part of continuing government efforts to drive economic growth, create jobs and address the cost of living",19,
"The Arab Gulf Cup U-23 tournament recently hosted by Doha constituted an important milestone in Qatar's busy football season.",18,
"Qatar Rail has announced that the Doha Metro and Lusail Tram networks are fully prepared to welcome and transport fans attending the 2025 FIFA Arab Cup and the FIFA Intercontinental Cup Qatar 2025 Finals.",18,
"The Los Angeles Galaxy are close to acquiring former Major League Soccer Defender of the Year Jakob Glesnes from the Philadelphia Union.",17,
"In terms of operational performance, a total of 48,422 train-trips were completed across the Doha Metro and Lusail Tram networks during the period from 1 to 18 December, comprising 41,843 metro trips and 6,579 tram trips.",17,
"Katara Traditional Dhow Festival Showcases Enduring Gulf Maritime Heritage",16,
"The Ambassador of the Kingdom of Thailand to the State of Qatar Sira Swangsilpa said that Qatar is a reliable partner and an active global mediator in promoting dialogue, peace, and sustainable development.",15,
"Chelsea have won the race to sign Burkina Faso starlet Muhammad Zongo, with the club believing that a move to sister club Strasbourg would be more beneficial for his development.",15,
"Metallica's performance at the Qatar Grand Prix was a standout moment of the Formula 1 weekend, yet it didn't impress all fans.",14,
"Qatar’s government announced significant visa updates. These changes include the Hayya GCC Residents Visa (A2) and the Multi-Entry Access (A4).",14,
"The FIFA U-17 World Cup Qatar 2025TM Local Organising Committee (LOC) launched the RoadtoQatar ticketing app today, an essential tool for fans attending the tournament, which is set to take place from 3-27 November.",13,
"The FIFA Arab Cup Qatar 2025 Local Organising Committee (LOC) has revealed Juha as the official mascot for this year’s edition of the prestigious regional tournament.",13,
"Qatar forward Almoez Ali is gearing up to lead his team into a competition he believes carries a special meaning for players and fans across the region.",12,

