
Entities,Count


Keyword
"تذاكر مباراة",7587,
"قطر",3842,
"حضورك",3034,
"كامل للدخول",2098,
"الأردني الوصافة",1683,
"المغربي الفوز",1682,
"الكروية جامعةً",1666,
"رياضي متألق",1657,
"والاردن",1505,
"الاردن",1323,

Hashtag
"#كأس_العرب",12214,
"#كأس_العرب2025",6977,
"#قطر",4682,
"#السعودية",3354,
"#الأردن",2846,
"#الكويت",2819,
"#العراق",2748,
"#الدوحة",2710,
"#ترامب",2690,
"#سوريا",2613,

Product
"fifa",435,
"g series",215,
"g700",215,
"t2",207,
"t series",206,
"f1",180,
"t1",113,
"x series",78,
"chrome",59,
"cashapp",44,

Person
"الله",1620,
"حسين",1508,
"نواف العقيدي",1314,
"تميم بن حمد آل ثاني",1312,
"خليل البلوشي",1260,
"أحمد الرواس",1254,
"بالمدرب رينارد",1254,
"المنصف الوهايبي",1036,
"عادل عبد الله",1036,
"الدوري",670,

Organization
"fifa قطر",2784,
"الاتحاد الدولي لكرة القدم",1691,
"الفيفا",1055,
"fifa",945,
"الحياة",659,
"وزارة الخارجية",595,
"مجلة ديوان",553,
"gq",516,
"qatar airways",438,
"اتحاد الكرة",414,

Location
"قطر",13098,
"المغرب",6095,
"السعودية",5952,
"الدوحة",4832,
"الأردن",4694,
"مصر",4427,
"دولة قطر",4359,
"qatar",3961,
"فلسطين",3627,
"عمان",2495,

Emoji
"🔥",7839,
"🏆",5512,
"📥",4711,
"😍",4370,
"🇸🇦",4288,
"✔",4287,
"❤️‍🔥",3437,
"⚽",3309,
"🇶🇦",3268,
"✅",2953,

