
Locations,Count


Country
"Saudi Arabia",12617,
"Egypt",4816,
"Qatar",4417,
"United Arab Emirates",2706,
"United States",2017,
"Kuwait",1550,
"Morocco",1336,
"Jordan",1026,
"United Kingdom",906,
"Bahrain",684,
"India",468,
"Yemen",428,
"Oman",399,
"Iraq",354,
"Algeria",325,
"South Africa",273,
"Lebanon",250,
"Nigeria",250,
"Russia",227,
"Palestinian Territories",216,
"France",211,
"Australia",188,
"Ghana",174,
"Uganda",172,
"Tunisia",134,
"Canada",132,
"Libya",123,
"Spain",115,
"Sudan",112,
"Indonesia",89,
"Syria",84,
"Brazil",80,
"Germany",78,
"Ireland",77,

State/Province
"Ar Riyāḑ",2736,
"Baladīyat ad Dawḩah",2638,
"Cairo",1362,
"Makkah",959,
"England",607,
"Amman",562,
"Unknown",378,
"Al Asimah",315,
"New York",314,
"Abu Dhabi",312,
"Dubai",295,
"Eastern Province",286,
"Giza",286,
"California",284,
"Moscow",199,
"Muscat",144,
"Beyrouth",125,
"Rabat-Salé-Kénitra",122,
"Casablanca-Settat",104,
"Central Region",103,
"Lagos",90,
"Eastern",87,
"Sharjah",84,
"Gauteng",81,
"Algiers",81,
"Al Madīnah al Munawwarah",76,
"New South Wales",76,
"Alabama",72,
"'Asir",70,
"Île-de-France",69,
"Washington",69,
"Wisconsin",68,
"Texas",66,
"Florida",59,
"Manama",59,

City
"Riyadh, Ar Riyāḑ",2593,
"Doha, Baladīyat ad Dawḩah",2578,
"Cairo, Cairo",797,
"Jeddah, Makkah",704,
"Unknown",378,
"Amman, Amman",330,
"Dubai, Dubai",278,
"London, England",276,
"Abu Dhabi, Abu Dhabi",221,
"Moscow, Moscow",199,
"Kuwait City, Al Asimah",198,
"Mecca, Makkah",192,
"New York City, New York",167,
"San Francisco, California",143,
"Dammam, Eastern Province",128,
"Muscat, Muscat",104,
"Khobar, Eastern Province",98,
"Kampala, Central Region",91,
"Sharjah, Sharjah",84,
"Giza, Giza",81,
"Casablanca, Casablanca-Settat",73,
"Medina, Al Madīnah al Munawwarah",70,
"Lagos, Lagos",68,
"Algiers, Algiers",65,
"Rabat, Rabat-Salé-Kénitra",54,
"Ar Rayyān, Baladīyat ar Rayyān",51,
"Ha'il, Ḩāʼil",47,
"Al Khawr, Al Khor",47,
"Baghdad, Baghdad",45,
"Jizan, Jizan",45,
"Johannesburg, Gauteng",45,
"New Delhi, Delhi",45,
"Paris, Île-de-France",44,
"Ta’if, Makkah",43,
"Calgary, Alberta",43,

