
Entities,Count


Keyword
"تذاكر مباراة",7529,
"قطر",3564,
"حضورك",3034,
"كامل للدخول",2098,
"المغربي الفوز",1672,
"الأردني الوصافة",1670,
"الكروية جامعةً",1666,
"رياضي متألق",1654,
"والاردن",1505,
"الاردن",1323,

Hashtag
"#كأس_العرب",12205,
"#كأس_العرب2025",6975,
"#قطر",4680,
"#السعودية",3352,
"#الأردن",2843,
"#الكويت",2819,
"#العراق",2748,
"#الدوحة",2710,
"#ترامب",2690,
"#سوريا",2613,

Product
"cashapp",44,
"fifa",40,
"p3",18,
"f1",17,
"mclaren dsqs",17,
"sf-25",13,
"t4",13,
"elevate",10,
"hulkenberg p1",6,
"pashinyan",6,

Person
"حسين",1508,
"الله",1380,
"نواف العقيدي",1259,
"خليل البلوشي",1256,
"أحمد الرواس",1254,
"بالمدرب رينارد",1254,
"تميم بن حمد آل ثاني",1069,
"المنصف الوهايبي",1036,
"عادل عبد الله",1036,
"توتو",626,

Organization
"fifa قطر",1643,
"الحياة",642,
"مجلة ديوان",553,
"gq",516,
"الاتحاد الدولي لكرة القدم",485,
"وزارة الخارجية",439,
"الفضاء العربي",377,
"الفيفا",360,
"جريدة القبس",258,
"caf",161,

Location
"قطر",7114,
"السعودية",3964,
"المغرب",3277,
"دولة قطر",2458,
"الأردن",2376,
"فلسطين",2254,
"الاردن",1811,
"عمان",1801,
"والمغرب",1537,
"وعمان",1348,

Emoji
"🔥",7781,
"🏆",5464,
"📥",4711,
"😍",4324,
"✔",4279,
"🇸🇦",4259,
"❤️‍🔥",3437,
"⚽",3246,
"🇶🇦",3198,
"✅",2936,

