Top Locations

Locations,Count


Country
"Saudi Arabia",10455,
"Qatar",2128,
"Kuwait",1113,
"United States",795,
"United Arab Emirates",737,
"Egypt",565,
"Morocco",413,
"United Kingdom",355,
"Oman",267,
"Jordan",255,
"Algeria",228,
"India",225,
"Iraq",207,
"South Africa",188,
"Nigeria",155,
"Uganda",140,
"France",136,
"Ghana",130,
"Yemen",127,
"Palestinian Territories",112,
"Canada",104,
"Spain",101,
"Lebanon",101,
"Tunisia",77,
"Sudan",72,
"Argentina",68,
"Italy",64,
"Syria",62,
"Brazil",61,
"Indonesia",61,
"Bahrain",60,
"Australia",59,
"Germany",56,
"Türkiye",51,

State/Province
"Ar Riyāḑ",2456,
"Baladīyat ad Dawḩah",1237,
"Makkah",898,
"England",259,
"Eastern Province",237,
"Abu Dhabi",191,
"Cairo",156,
"Al Asimah",152,
"Dubai",152,
"Central Region",97,
"Amman",97,
"Eastern",87,
"Muscat",85,
"California",84,
"New York",79,
"Al Madīnah al Munawwarah",76,
"Alabama",72,
"'Asir",70,
"Gauteng",70,
"Algiers",64,
"Île-de-France",63,
"Casablanca-Settat",63,
"Lagos",62,
"Rabat-Salé-Kénitra",61,
"Jizan",53,
"Texas",52,
"Al-Qassim",51,
"West Bank",51,
"Baladīyat ar Rayyān",51,
"Sharjah",50,
"Florida",50,
"Al Khor",49,
"Alberta",49,
"Ḩāʼil",48,
"Maharashtra",38,

City
"Riyadh, Ar Riyāḑ",2414,
"Doha, Baladīyat ad Dawḩah",1237,
"Jeddah, Makkah",656,
"Mecca, Makkah",190,
"Abu Dhabi, Abu Dhabi",164,
"Cairo, Cairo",156,
"Dubai, Dubai",152,
"Kuwait City, Al Asimah",151,
"London, England",151,
"Amman, Amman",97,
"Khobar, Eastern Province",91,
"Dammam, Eastern Province",86,
"Kampala, Central Region",86,
"Medina, Al Madīnah al Munawwarah",70,
"Muscat, Muscat",67,
"Algiers, Algiers",64,
"Casablanca, Casablanca-Settat",63,
"Lagos, Lagos",62,
"Ar Rayyān, Baladīyat ar Rayyān",51,
"Sharjah, Sharjah",50,
"Ha'il, Ḩāʼil",47,
"Al Khawr, Al Khor",47,
"Rabat, Rabat-Salé-Kénitra",47,
"New York City, New York",46,
"Jizan, Jizan",45,
"Ta’if, Makkah",43,
"Paris, Île-de-France",43,
"Calgary, Alberta",43,
"Johannesburg, Gauteng",36,
"Abha, 'Asir",34,
"Al Hāshimīyah, West Bank",34,
"Abuja, FCT",32,
"Tabuk, Tabuk",31,
"Buenos Aires, Buenos Aires F.D.",30,
"Barcelona, Catalonia",29,

