Event,Hit Sentence,Engagement,Views,Author Name,Author Handle,URL,Date,Source Type
FIFA U-17 World Cup,Bruno Torres tackled a host of quick-fire questions in our FIFA U-17 World Cup Qatar 2025™ ‘Get to know…’ series. Learn about the Chile ...,78656,0,N/A,N/A,https://www.fifa.com/en/tournaments/mens/u17worldcup/qatar-2025/articles/get-to-know-bruno-torres-chile,2025-10-29,online news
Formula 1 Qatar GP,"""Podium in Qatar! What the hell!"" Time to enjoy Carlos Sainz's full team radio after he claimed a superb P3 🤩 #f1 #QatarGP https://t.co/PxdhrbGnHS",23373,454888,Formula 1,@f1,https://twitter.com/F1/statuses/1995245955093037089,2025-12-01,social network
FIFA Arab Cup 2025,فخورون بما تميزت به بطولة كأس العرب من تنظيم محكم وأداء رياضي متألق، وما جسدته من مشاعر الأخوة والاحترام. مبروك للمنتخب المغربي الفوز باللقب وللمنتخب الأردني الوصافة، آملين أن تظل هذه المناسبة الكروية جامعةً لكل الأشقاء العرب. https://t.co/9juxHzjJi3,16090,427166,تميم بن حمد,@tamimbinhamad,https://twitter.com/TamimBinHamad/statuses/2001758203412111487,2025-12-18,social network
FIFA U-17 World Cup,"... year, which will act as the qualification pathway for the FIFA U17 World Cup Qatar 2026. Group A will see hosts China PR, Bangladesh, ...",14808,0,N/A,N/A,https://vishvatimes.com/india-name-23-man-squad-for-afc-u17-asian-cup-2026-qualifiers,2025-11-21,online news
Formula 1 Qatar GP,"チャンスは必ず巡ってくると信じてる。 ; 🗣️| Lewis Hamilton about Yuki: ""Yuki is an amazing driver but every driver that goes there has this general experience. But it doesn’t mean those drivers aren’t great, it’s clearly something else."" ""So I just hope that there are changes made that provide him",11059,771396,efmania,@efmania,https://twitter.com/efmania/statuses/1996742399339720916,2025-12-05,social network
FIFA U-17 World Cup,"... Qatar will host the FIFA U-17 World Cup this November. The squad of the Uzbekistan U-17 national team, led by head coach Islom Ismoilov, ...",9070,0,N/A,N/A,https://qalampir.uz/en/news/uzbekiston-u-17-zhamoasining-zhch-uchun-tarkibi-ma-lum-buldi-126425,2025-10-31,online news
FIFA U-17 World Cup,"... Qatar will host the FIFA U-17 World Cup this November. The schedule for the Uzbekistan U-17 national team, led by Islam Ismoilov, has been ...",9058,0,N/A,N/A,https://qalampir.uz/en/news/uzbekiston-u-17-zhamoasining-zhch-uchun-tak-vimi-ma-lum-buldi-126310,2025-10-29,online news
Formula 1 Qatar GP,"🗣️| Lewis Hamilton about Yuki: ""Yuki is an amazing driver but every driver that goes there has this general experience. But it doesn’t mean those drivers aren’t great, it’s clearly something else."" ""So I just hope that there are changes made that provide him with the right",8433,1075557,Hawk,@hawk9248,https://twitter.com/Hawk9248/statuses/1996635096942608402,2025-12-04,social network
Formula 1 Qatar GP,QT @LightsOutF1Blog: “Carlos Sainz the first Williams driver to reach Q3 in Qatar” beautiful ✨✨ https://t.co/RTWfXTR2Qf https://t.co/E2OfZfdvCQ ; Sainz is the first Williams driver to reach Q3 at the #QatarGP! #f1 ,7936,78234,ari 🦄✨,@itsnotme_ari,https://twitter.com/itsnotme_ari/statuses/1994841141884457416,2025-11-29,social network
UFC Qatar,Aleksandre Topuria makes it 2-0 in the UFC with an impressive win at #ufcqatar 👏 https://t.co/OgvWM1pnLR,5416,185180,ESPN MMA,@espnmma,https://twitter.com/espnmma/statuses/1992270453679755587,2025-11-22,social network
FIFA Arab Cup 2025,بعد نجاح كأس العرب الأولى، ثم الإبهار العالمي في كأس العالم، ها هي الدوحة تثبت من جديد أن النجاح عادة قطرية قطر .. هو عنوان النجاح لأي بطولة 👌🏼,4998,180154,خالد جاسم,@khalidjassem74,https://twitter.com/khalidjassem74/statuses/1997456020352700652,2025-12-07,social network
FIFA Arab Cup 2025,🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨 عااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااجل — رسميًا: بطولة كأس العرب تكسر حاجز الـمليون مشجع في الملاعب الـبطولة في نهاية دور ربع النهائي ومتبقي 4 مباريات حضور عظييييييييييييييم ونجاح عظيم! ♥️♥️♥️♥️♥️♥️♥️🤯🤯🤯🤯🤯🤯🤯🤯 https,4063,341614,عمرو,@bt3,https://twitter.com/bt3/statuses/1999556108969460056,2025-12-12,social network
FIFA Intercontinental Cup,"... actress Nicole Kidman will join Vogue’s Anna Wintour in hosting the event in May 2026. Williams has never been a co-host, ...",4040,0,Bob D'Angelo,N/A,https://www.wpxi.com/news/trending/2026-met-gala-beyonc-venus-williams-nicole-kidman-anna-wintour-named-co-chairs/U4Z2E6WNYZBFTCEXOKIK7JK4H4/,2025-12-10,online news
Formula 1 Qatar GP,121 Laps completed with RB21 in Abu Dhabi✅ That was just amazing day with huge experience. We could do the all of plan through the day and have got some data. Big thanks to @redbullracing for giving me the opportunity!!! #Honda #RedBull #RedBullRacing #f1 #f1jp https://t.co/,3960,72083,Ayumu Iwasa 岩佐歩夢,@ayumuiwasa_cars,https://twitter.com/ayumuiwasa_cars/statuses/1998419372378075369,2025-12-09,social network
FIFA U-17 World Cup,A heart warming welcome for Lebohang ‘Guluva’ Dhlamini as he returns home from representing the country at the 2025 FIFA U17 World Cup in Qatar. This is beautiful ❤️❤️❤️ https://t.co/yYUH5tx5qu,3831,56516,Football Stage,@football__stage,https://twitter.com/Football__Stage/statuses/1990852737068675391,2025-11-18,social network
FIFA Arab Cup 2025,الجمهور السعودي مكسب لهذه البطولة داخل الملعب وخارج الملعب. أجواء رياضية حماسية كبيرة يصنعها هذا الجمهور العظيم في كل بطولة يلعبها. أفضل جمهور عربي في البطولة، إن شاء الله مستمرين إلى نهاية البطولة. 🇸🇦 #السعودية_جزر_القمر #كأس_العرب #قرعه_كاس_العالم_2026 #السعودية https://t.co/,3703,180489,شهاب الدين بن أحمد 🇴🇲,@shihab_albloshi,https://twitter.com/shihab_albloshi/statuses/1997003621217849354,2025-12-05,social network
FIFA U-17 World Cup,Memories created. Thank you Qatar 🇶🇦 Full-time! Uganda U-17 1️⃣1️⃣ Burkina Faso U-17 #UGABFA | #u17wc https://t.co/aXxidqAQlx,3513,113185,FUFA,@officialfufa,https://twitter.com/OfficialFUFA/statuses/1990795273229250875,2025-11-18,social network
UFC Qatar,EASY VICTORY FOR KYOJI HORIGUCHI! JUST LIKE I SAID! BROKE THAT FREAK BITCH TAGIR ULANBEKOV EASILY! #ufcqatar Destroyed him every single round! Toying with that chicken quitter! what a quitter! can't even get back up! Makhachev crying in the corner! Beautiful! Amazing!,3504,156072,THE MMA GURU,@thatboymmaguru,https://twitter.com/THATBOYMMAGURU/statuses/1992300339454939469,2025-11-22,social network
UFC Qatar,"... 😲👀 Ian Garry says he sees “obvious holes” in Islam Makhachev’s fighting style #ufcqatar ""Islam is phenomenal. He looked far cleaner on the feet against Jack. His calmness and composure were elite. However, there are still holes. If you watch his striking, there are obvious ...",3441,436644,Red Corner MMA,@redcorner_mma,https://twitter.com/RedCorner_MMA/statuses/1991092412912112042,2025-11-19,social network
FIFA Intercontinental Cup,مهما أنصفنا دولة قطر لن نوفيها حقها.. خلال 45 يوم؛ أستضافت دولة قطر (4) بطولات • عالمية > كأس العالم للناشئين + كأس القارات • عربية > كأس العرب • خليجية > كأس الخليج للشباب إستضافة (161) مباراة بـ45 يوم فقط! 🤯😱 شيء عظيم، شيء مبهر، شيء مذهل.. شكرًا قطر 🇶🇦 https://t.co/,3304,171853,نواف الاسيوي 🇸🇦,@football_li5,https://twitter.com/football_li5/statuses/2001958997122052477,2025-12-19,social network
UFC Qatar,He's been impressive since day one 👊 @IanGarryMMA is back in action Saturday at #ufcqatar ! https://t.co/z9OG1cDC5m,3182,267260,UFC,@ufc,https://twitter.com/ufc/statuses/1990572513844474052,2025-11-18,social network
FIFA Arab Cup 2025,QT @SaudiNTFans: أقسم بالله انا كويتي🇰🇼وأعترف جمهور السعودية أفضل وأقوى وأكثر جمهور مؤثر داخل وخارج الملعب وفي مواقع التواصل الإجتماعي نجاح أي بطولة مرهون بتواجد الجمهور و الإعلام السعودي الرقم واحد في الخليج وآسيا والعرب🇸🇦 #كأس_العرب https://t.co/5QDhaufcwT ; بصوت واحد نهتف,2917,265025,سليمان الخياط,@alkhayat_sloom,https://twitter.com/alkhayat_sloom/statuses/1996715862355570897,2025-12-05,social network
Formula 1 Qatar GP,"This weekend in Mexico, we’re spotlighting sustainability through a beautiful symbol: the monarch butterfly 🦋 Fans at the circuit will receive special seed-paper butterflies to raise awareness of biodiversity and local community initiatives in Mexico City #f1 #MexicoGP https://t",2896,232532,Formula 1,@f1,https://twitter.com/F1/statuses/1982382192547549608,2025-10-26,social network
FIFA Intercontinental Cup,"... actress Nicole Kidman will join Vogue’s Anna Wintour in hosting the event in May 2026. Williams has never been a co-host, ...",2841,0,N/A,N/A,https://www.whio.com/news/trending/2026-met-gala-beyonc-venus-williams-nicole-kidman-anna-wintour-named-co-chairs/U4Z2E6WNYZBFTCEXOKIK7JK4H4/,2025-12-10,online news
