Date	Time	Document ID	URL	Input Name	Keywords	Information Type	Source Type	Source Name	Source Domain	Content Type	Author Name	Author Handle	Title	Opening Text	Hit Sentence	Image	Hashtags	Links	Country	Region	State	City	Language	Sentiment	Keyphrases	Reach	Global Reach	National Reach	Local Reach	AVE	Social Echo	Editorial Echo	Engagement	Shares	Quotes	Likes	Replies	Reposts	Comments	Reactions	Views	Estimated Views	Document Tags	Custom Categories	Custom Fields
2025-11-03	10:53	"""1762156423000_Ms9Yoi8e6VMCxWeQqJo-BRlreYIA"""	https://twitter.com/AWQAF_KSA/statuses/1985254045288628531	(from:awqaf_ksa)		social	social network	Twitter	twitter.com	Quote	الهيئة العامة للأوقاف	@awqaf_ksa		QT @HajMinistry: تمثل النسخة الخامسة من #مؤتمر_ومعرض_الحج منصةً متكاملة من جهود القطاعين العام والخاص، الساعية لتزويد منظومة الحج بحلول نوعي ...		https://video.twimg.com/amplify_video/1985054054116970496/vid/avc1/1920x816/xo50_PbbkzLGEalp.mp4	#مؤتمر_ومعرض_الحج;#من_مكة_إلى_العالم	"""https://twitter.com/2835799137/status/1985054568149889485"";""https://x.com/HajMinistry/status/1985054568149889485/video/1"""	Saudi Arabia				Arabic	positive	بيت الله;جدة سوبردوم;ضيوف الرحمن	178969				1,655.46			6	2		4		2		4	3634				
2025-11-03	11:25	"""1762158352000_YjZiUuRydvuFxJGF1fKcM6_ZioEA"""	https://twitter.com/AWQAF_KSA/statuses/1985262136264651071	(from:awqaf_ksa)		social	social network	Twitter	twitter.com	Repost	الهيئة العامة للأوقاف	@awqaf_ksa		RT @UNDPSaudiArabia: نفخر بمشاركة شريكنا @AWQAF_KSA في القمة العالمية الثانية للتنمية الاجتماعية في الدوحة من 4 إلى 6 نوفمبر 2025 🇸🇦 من خلال ...		https://pbs.twimg.com/media/G40Co_ZXcAAoFfT.jpg	#sdgs;#socialsummit2025;#undpinksa;#الأوقاف;#رؤية_2030	"""https://x.com/UNDPSaudiArabia/status/1985259151107186779/photo/1"""	Saudi Arabia				Arabic	positive	الدوحة;الوقفي وتعظيم;دولية لتعزيز	178958				1,655.36															
2025-11-04	21:36	"""1762281376000_qz06Gvub_ex9hO0D8Yhe6G9a8MgA"""	https://twitter.com/AWQAF_KSA/statuses/1985778138169725283	(from:awqaf_ksa)		social	social network	Twitter	twitter.com	Repost	الهيئة العامة للأوقاف	@awqaf_ksa		RT @AWQAFRIYADAH: نشارك في القمة العالمية للتنمية الاجتماعية الثانية، لاستعراض “مؤشر التميز الوقفي” بوصفه مبادرة وطنية رائدة تعزز حوكمة القط ...		https://pbs.twimg.com/media/G47mdwmXYAAGSOa.jpg		"""https://x.com/AWQAFRIYADAH/status/1985777905608142852/photo/1"""	Saudi Arabia				Arabic	positive	العالمية للتنمية;الوقفي وتميّزه;وطنية رائدة	178956				1,655.34															
2025-11-04	19:01	"""1762272080000_L8ZJHg2cOIrpKgDXX0EwNMcLXEAA"""	https://twitter.com/AWQAF_KSA/statuses/1985739145319481408	(from:awqaf_ksa)		social	social network	Twitter	twitter.com	Social Post	الهيئة العامة للأوقاف	@awqaf_ksa		كرم سمو نائب أمير منطقة الرياض #الهيئة_العامة_للأوقاف خلال حفل تدشين مقر جمعية خيرات، تقديرًا لدعم مبادرات حفظ النعمة، ودورها الفاعل كشريك ا ...		https://pbs.twimg.com/media/G47B3ADacAAXNgt.jpg	#الهيئة_العامة_للأوقاف	"""https://x.com/AWQAF_KSA/status/1985739145319481408/photo/1"""	Saudi Arabia				Arabic	positive		178954				1,655.32			16	5		11		5		11	2716				
2025-11-04	13:22	"""1762251748000_jho15b2_Mt8VUWI82Fnoq-FboAMA"""	https://twitter.com/AWQAF_KSA/statuses/1985653870249304378	(from:awqaf_ksa)		social	social network	Twitter	twitter.com	Social Post	الهيئة العامة للأوقاف	@awqaf_ksa		... في إنجازٍ يعكس ريادة #الهيئة_العامة_للأوقاف كرّمت الهيئة في منتدى برامج الضمان العربي الإقليمي، تقديرًا لمبادرتها النوعية بالتعاون مع بر ...		https://pbs.twimg.com/media/G451p9IWsAAbsNK.jpg	#الهيئة_العامة_للأوقاف	"""https://x.com/AWQAF_KSA/status/1985653870249304378/photo/1"""	Saudi Arabia				Arabic	positive	الائتمانية لزيادة;النوعية بالتعاون	178944				1,655.23			32	11		19		11		21	3574				
2025-10-30	20:37	"""1761845854000_4rVm9wtMFK7ZsgncGNt9FVSF7u4A"""	https://twitter.com/AWQAF_KSA/statuses/1983951427111149867	(from:awqaf_ksa)		social	social network	Twitter	twitter.com	Repost	الهيئة العامة للأوقاف	@awqaf_ksa		"RT @cua_gov_sa: الجلسة الحوارية الثالثة بعنوان ""الاستثمار والأوقاف في مؤسسات التعليم العالي""، بمشاركة المتحدثين مساعد وزير التعليم للتعليم ا ..."		https://pbs.twimg.com/media/G4gZLNcXkAA1zp_.jpg	#مجلس_شؤون_الجامعات	"""https://x.com/cua_gov_sa/status/1983863328737726821/photo/1"""	Saudi Arabia				Arabic	neutral	إياد بن عبدالرحمن القرعاوي;الأكاديمية الأستاذ;الثالثة بعنوان;محمد العقيل;محمد بن خليل;والتحول بمجلس	178850				1,654.36															
2025-10-30	17:59	"""1761836345000_HTqy4qRTrMQVK0R21z5gH6GSp9oA"""	https://twitter.com/AWQAF_KSA/statuses/1983911542610444589	(from:awqaf_ksa)		social	social network	Twitter	twitter.com	Social Post	الهيئة العامة للأوقاف	@awqaf_ksa		تنوّعت الرؤى وتكاملت الأطروحات في الندوة الفقهية الوقفية الثانية، بحضور نخبة من أصحاب الفضيلة العلماء والمختصين، في حوار علمي ثري يعكس عمق ا ...		https://video.twimg.com/amplify_video/1983911458359439360/vid/avc1/1920x1080/emdN9ZfZZAjkKfWx.mp4?tag=16	#الهيئة_العامة_للأوقاف	"""https://x.com/AWQAF_KSA/status/1983911542610444589/video/1"""	Saudi Arabia				Arabic	neutral	الفقهية الوقفية	178829				1,654.17			23	7		10	1	7		15	2720				
2025-10-29	16:08	"""1761743315000_zG3O_GRxwmbVRtx3w7ByJCo_a50A"""	https://twitter.com/AWQAF_KSA/statuses/1983521346253631536	(from:awqaf_ksa)		social	social network	Twitter	twitter.com	Repost	الهيئة العامة للأوقاف	@awqaf_ksa		RT @EmadAlkharashi: أتقدّم بالشكر الجزيل لأصحاب المعالي والفضيلة العلماء والمختصين على مشاركتهم في الندوة الفقهية الوقفية الثانية التي نظّمت ...			#الهيئة_العامة_للأوقاف	"""https://twitter.com/awqaf_ksa/status/1983500909804958183"""	Saudi Arabia				Arabic	positive	الجزيل;الفقهية الوقفية	178703				1,653.00															
2025-10-29	15:45	"""1761741957000_mMM6ibLqTovQo6XriEZFTyFnLRsA"""	https://twitter.com/AWQAF_KSA/statuses/1983515650774491406	(from:awqaf_ksa)		social	social network	Twitter	twitter.com	Social Post	الهيئة العامة للأوقاف	@awqaf_ksa		خلال كلمته في الندوة الفقهية الوقفية الثانية، أكّد محافظ #الهيئة_العامة_للأوقاف أ.عماد الخراشي على أهمية دور الندوات المتخصصة في إثراء المعر ...		https://pbs.twimg.com/media/G4bc9NLXEAAQsGa.jpg	#الهيئة_العامة_للأوقاف	"""https://x.com/AWQAF_KSA/status/1983515650774491406/photo/1"""	Saudi Arabia				Arabic	neutral	الخراشي;الفقهية الوقفية;الوقفية وتعزيز	178701				1,652.98			14	5		9		5		9	2838				
2025-10-29	14:47	"""1761738443000_Np57hB_ZRZ4ip505TYvIHpl7J_wA"""	https://twitter.com/AWQAF_KSA/statuses/1983500909804958183	(from:awqaf_ksa)		social	social network	Twitter	twitter.com	Social Post	الهيئة العامة للأوقاف	@awqaf_ksa		"ضمن جهودها في تعزيز الوعي بالأوقاف، أقامت #الهيئة_العامة_للأوقاف الندوة الفقهية الوقفية في نسختها الثانية، تحت عنوان""تحديات العمل بشروط الوا ..."		https://pbs.twimg.com/media/G4bPjMLXgAAq99g.jpg	#الهيئة_العامة_للأوقاف	"""https://x.com/AWQAF_KSA/status/1983500909804958183/photo/1"""	Saudi Arabia				Arabic	neutral	المرتبطة بالعمل	178699				1,652.97			53	17	2	27	3	15		33	71235				
